Nom,Nom url,Developpeur,Categorie(s),Nombre installations,Date de mise a jour,Taille,Version Actuelle,Version Android,Note,Date,Heure
Twerk Race 3D — Running Game,freeplay.twerk,Freeplay Inc,Arcade,10000000,2022-03-31 00:00:00.000000,119 Mo,1.17.6,5.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.312436
Merge Monsters Army,teagames.mergemonstersarmy,playducky.com,Arcade,1000000,2022-04-11 00:00:00.000000,120 Mo,0.5,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.429484
1945 Air Force: Airplane games,os.airforce,ONESOFT,Arcade,100000000,2022-04-01 00:00:00.000000,190 Mo,9.57,5.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.545901
Vector,nekki.vector,NEKKI,Arcade,100000000,2022-04-05 00:00:00.000000,104 Mo,1.3.4,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.661606
Breaker Fun - Rescue Adventure,bricksbreaker.balls.crusher.bricks,mogame,Arcade,10000000,2022-04-07 00:00:00.000000,101 Mo,1.9.9,4.1,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.047537
Rider,ketchapp.rider,Ketchapp,Arcade,50000000,2022-03-17 00:00:00.000000,94 Mo,1.5.9,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.203112
Space shooter - Galaxy attack,game.space.shooter2,OneSoft Global PTE. LTD.,Arcade,100000000,2022-04-07 00:00:00.000000,123 Mo,1.579,4.4,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.316941
Sonic Dash - Endless Running,sega.sonicdash,SEGA,Arcade,100000000,2022-04-04 00:00:00.000000,125 Mo,5.3.1,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.431940
Shooting Towers: Merge Defense,floor18.merge.defense,Freeplay Inc,Arcade,1000000,2022-04-04 00:00:00.000000,78 Mo,2.5.5,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.559420
Paper.io 3D,voodoo.paper3,VOODOO,Arcade,10000000,2022-03-21 00:00:00.000000,69 Mo,2.2,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.673105
Block Craft 3D：Building Game,fungames.blockcraft,Fun Games For Free,Arcade,100000000,2022-04-05 00:00:00.000000,84 Mo,2.14.1,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.788998
Popsicle Stack,northerncoldgames.popsiclestack,Lion Studios,Arcade,5000000,2022-03-29 00:00:00.000000,73 Mo,1.0.12,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:38.977481
Stack Ball - Crash Platforms,azurgames.stackball,CASUAL AZUR GAMES,Arcade,100000000,2022-02-09 00:00:00.000000,42 Mo,1.1.16,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.121932
Flow Legends,vladk.pipemasters,Playgendary Limited,Arcade,10000000,2022-03-15 00:00:00.000000,116 Mo,1.4.6,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.236436
Zombie Tsunami,mobigame.zombietsunami,Mobigame S.A.R.L.,Arcade,100000000,2022-04-08 00:00:00.000000,72 Mo,4.5.99,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.351281
Crazy Kick!,orbitalknight.ridiculousfreekick,VOODOO,Arcade,10000000,2022-04-05 00:00:00.000000,81 Mo,1.18.7,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.581043
Bank Job: Idle Business,dorfer.bankidlearcade,DorferGames,Arcade,100000,2022-03-30 00:00:00.000000,65 Mo,2.0.5,5.1,3.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.697421
Doll Designer,kfe.toymaker,Lion Studios,Arcade,50000000,2022-04-01 00:00:00.000000,146 Mo,1.6.9,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.814093
Archery Bastions: Castle War,bastion.archers,CASUAL AZUR GAMES,Arcade,100000,2022-03-20 00:00:00.000000,53 Mo,0.2.2,5.0,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:39.990148
Galaxiga: Classic Arcade Game,os.space.force.galaxy.alien,ONESOFT,Arcade,10000000,2022-03-22 00:00:00.000000,193 Mo,22.50,5.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.124804
UNO!™,matteljv.uno,Mattel163 Limited,Card,50000000,2022-03-31 00:00:00.000000,213 Mo,1.9.1915,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.245427
Solitaire,puzzlemaker.solitaire.klondike.cardgame.patience,PuzzleMaker - block puzzle,Card,5000000,2022-02-23 00:00:00.000000,33 Mo,1.21.304,4.4,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.361892
Solitaire - Classic Card Games,puzzle.solitaire,Beetles Studio,Card,10000000,2022-03-31 00:00:00.000000,47 Mo,1.11.11,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.480274
Solitaire - Card Game,ner.SolitaireKlondike,nerByte GmbH,Card,10000000,2022-03-15 00:00:00.000000,37 Mo,3.3.4,5.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.608851
MONOPOLY Solitaire: Card Games,mobilityware.MonopolySolitaire,MobilityWare,Card,1000000,2022-04-11 00:00:00.000000,150 Mo,2022.1.0.4031,7.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:40.845263
Solitaire Card Game,card.classic.bgames,Degoo ltd,Card,1000000,2022-03-22 00:00:00.000000,54 Mo,1.0.6,6.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.010140
Phase 10: World Tour,mattel163.phase10,Mattel163 Limited,Card,5000000,2022-03-24 00:00:00.000000,63 Mo,1.4.9776,4.4,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.122318
Belote.com - Belote & Coinche,gameduell.mobile.belote,GameDuell,Card,1000000,2022-04-04 00:00:00.000000,81 Mo,2.6.1,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.367350
Solitaire,agedstudio.card.solitaire.klondike,Aged Studio Limited,Card,10000000,2022-03-05 00:00:00.000000,55 Mo,1.20.9.322,8.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.481997
Solitaire Cruise: Card Games,belkagames.solitaire,BELKA GAMES,Card,10000000,2022-04-11 00:00:00.000000,174 Mo,3.5.0,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.595322
Solitaire Home Design,island.card,Betta Games,Card,1000000,2022-03-22 00:00:00.000000,76 Mo,1.0.59,9.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.737513
"Solitaire Card Games, Klondike",patience.card.games.klondike.free,Guru Puzzle Game,Card,5000000,2022-03-30 00:00:00.000000,52 Mo,2.6.1.22033050,6.0,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.852559
Solitaire,tripledot.solitaire,Tripledot Studios Limited,Card,10000000,2022-03-15 00:00:00.000000,43 Mo,4.01.00,4.4,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:41.984862
Belote Multiplayer,iscoolentertainment.belote,IsCool Entertainment,Card,1000000,2022-02-18 00:00:00.000000,71 Mo,2.15.1,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:42.099322
Hearthstone,blizzard.wtcg.hearthstone,"Blizzard Entertainment, Inc.",Card,50000000,2022-04-01 00:00:00.000000,109 Mo,23.0.135540,7.0,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:42.211843
